Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,29.65,30.389999,29.49,30.309999,1296800,30.309999
2016-10-25,29.74,29.99,29.389999,29.84,643900,29.84
2016-10-24,29.92,30.25,29.57,29.74,578800,29.74
2016-10-21,29.549999,30.07,29.26,29.629999,732900,29.629999
2016-10-20,29.76,29.950001,29.59,29.68,489900,29.68
2016-10-19,29.25,29.85,29.08,29.780001,581900,29.780001
2016-10-18,28.75,29.23,28.610001,29.17,861900,29.17
2016-10-17,28.209999,28.559999,28.16,28.40,473900,28.40
2016-10-14,28.629999,28.98,28.08,28.23,676600,28.23
2016-10-13,29.17,29.17,27.969999,28.33,1345600,28.33
2016-10-12,29.67,29.780001,29.15,29.49,687900,29.49
2016-10-11,29.76,29.950001,29.34,29.59,971600,29.59
2016-10-10,29.709999,30.129999,29.60,29.98,761200,29.98
2016-10-07,29.01,29.700001,28.90,29.50,1476100,29.50
2016-10-06,28.610001,29.030001,28.41,28.950001,571600,28.950001
2016-10-05,28.35,28.889999,28.280001,28.559999,871900,28.559999
2016-10-04,28.629999,28.77,28.040001,28.209999,697300,28.209999
2016-10-03,28.48,28.74,28.190001,28.52,680700,28.52
2016-09-30,28.219999,28.700001,28.01,28.58,790700,28.58
2016-09-29,28.17,28.41,27.73,28.01,744700,28.01
2016-09-28,27.709999,28.200001,27.549999,28.17,803700,28.17
2016-09-27,27.24,27.84,27.16,27.549999,956000,27.549999
