Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,33.990002,34.18,33.380001,33.709999,2384700,33.709999
2016-10-25,33.720001,34.060001,33.59,34.060001,1385500,34.060001
2016-10-24,33.73,33.880001,33.580002,33.709999,1572900,33.709999
2016-10-21,33.299999,33.669998,33.299999,33.50,1559100,33.50
2016-10-20,34.18,34.330002,33.610001,33.619999,1801500,33.619999
2016-10-19,34.439999,34.540001,34.330002,34.400002,1246200,34.400002
2016-10-18,34.75,34.799999,34.369999,34.400002,1051700,34.400002
2016-10-17,34.48,34.59,34.220001,34.43,1236400,34.43
2016-10-14,34.400002,34.599998,34.310001,34.41,962400,34.41
2016-10-13,33.93,34.310001,33.82,34.169998,1318500,34.169998
2016-10-12,34.119999,34.450001,34.040001,34.189999,1915800,34.189999
2016-10-11,34.349998,34.450001,34.029999,34.080002,1538500,34.080002
2016-10-10,34.169998,34.439999,34.110001,34.389999,1612400,34.389999
2016-10-07,33.450001,34.41,33.330002,33.990002,2447000,33.990002
2016-10-06,33.900002,33.900002,33.009998,33.209999,3326600,33.209999
2016-10-05,34.00,34.200001,33.439999,33.650002,2993600,33.650002
2016-10-04,33.279999,33.66,32.970001,33.50,3648300,33.50
2016-10-03,33.59,33.599998,32.810001,33.279999,2821900,33.279999
2016-09-30,33.639999,33.84,33.23,33.630001,3541700,33.630001
2016-09-29,34.110001,34.110001,33.48,33.639999,1771800,33.639999
2016-09-28,33.82,34.169998,33.700001,34.150002,1993100,34.150002
2016-09-27,33.91,34.09,33.66,33.740002,2281600,33.740002
